type,x_au,y_au,z_au,time
moza,-2.316090503391495,1.8875371603900082,-0.019036827965685437,2028-06-12 00:00:00
ousha,2.1067823438707753,1.237493409750328,-0.18798473903461407,2028-06-12 00:00:00
ghaf,-0.46141815029963507,2.6506033225576267,-0.03457211995756101,2028-06-12 00:00:00
justitia,0.7579373595885901,3.0166369852683377,-0.2942979629916332,2028-06-12 00:00:00
venus,-0.027472795735766376,-0.6630100982056542,-0.2966097128476808,2028-06-12 00:00:00
earth,-0.15593332554877332,-0.9206454699743969,-0.39907805845529803,2028-06-12 00:00:00
mars,0.9467397870018772,1.033786362212305,0.44862694444646617,2028-06-12 00:00:00
jupiter,-5.442473971953992,0.0278151658921083,0.144393156975474,2028-06-12 00:00:00
saturn,7.807308783031136,4.704048394191223,1.607129442953806,2028-06-12 00:00:00
spacecraft,0.011759506332693388,1.5758120782455374,0.012235945972331156,2028-06-13 00:00:00
westerwald,0.773555407090052,-2.516521822913968,-0.013929092466051717,2028-06-13 00:00:00
chimaera,0.4543650547923066,-2.6446283716984476,-0.3224030268667389,2028-06-13 00:00:00
rockox,0.13775180776300305,-2.1743574341175043,-0.15466065848622987,2028-06-13 00:00:00
moza,-2.322481324539181,1.8800454988157467,-0.016989741110218917,2028-06-13 00:00:00
ousha,2.1034327064962697,1.247774215917484,-0.18860527881882888,2028-06-13 00:00:00
ghaf,-0.4718890280171827,2.6498742930252015,-0.03336017964608267,2028-06-13 00:00:00
justitia,0.7497149821083848,3.0195590348489247,-0.2942404842842944,2028-06-13 00:00:00
venus,-0.007388536823293717,-0.6630601830816781,-0.2979032866911087,2028-06-13 00:00:00
earth,-0.1391962629413021,-0.9230026447846842,-0.40009993394973026,2028-06-13 00:00:00
mars,0.9365128312418064,1.042909424001388,0.45308728187191205,2028-06-13 00:00:00
jupiter,-5.442672467940462,0.02119578076925519,0.1415609582141142,2028-06-13 00:00:00
saturn,7.804015213319982,4.7083349528992455,1.6090423083262213,2028-06-13 00:00:00
spacecraft,0.024689843241729927,1.581467203561914,0.010692463523422053,2028-06-14 00:00:00
westerwald,0.7829919911709244,-2.513905527755243,-0.013969033363683749,2028-06-14 00:00:00
chimaera,0.46386394673191406,-2.6426851491463834,-0.3202235687363318,2028-06-14 00:00:00
rockox,0.14953757920509847,-2.1746202046847065,-0.1555670854562369,2028-06-14 00:00:00
moza,-2.3288463972133435,1.8725329774346466,-0.014942465148898488,2028-06-14 00:00:00
ousha,2.100040903977199,1.2580300083208569,-0.18922203735193996,2028-06-14 00:00:00
ghaf,-0.4823527446268446,2.649105058696743,-0.03214773313093572,2028-06-14 00:00:00
justitia,0.7414853410820859,3.0224518096597595,-0.29418015272566295,2028-06-14 00:00:00
venus,0.012701418271803669,-0.6625995703466718,-0.2989673694684022,2028-06-14 00:00:00
