JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2464614.500000000, A.D. 2035-Oct-14 00:00:00.0000,  2.019582853756820E+08, -3.369840312838809E+08, -1.199440258603051E+07,  1.494410913394354E+01,  1.109927648051890E+01, -2.059627954881281E+00,  1.311077705441177E+03,  3.930512079432104E+08, -1.774548085891664E+00,
2464615.500000000, A.D. 2035-Oct-15 00:00:00.0000,  2.032478043550539E+08, -3.360223063830552E+08, -1.217225606363261E+07,  1.490581917449108E+01,  1.116285612184408E+01, -2.057344646979324E+00,  1.310566598371118E+03,  3.928979818983761E+08, -1.772345867842653E+00,
2464616.500000000, A.D. 2035-Oct-16 00:00:00.0000,  2.045340026237261E+08, -3.350550928562837E+08, -1.234991069559468E+07,  1.486724083651709E+01,  1.122632776793216E+01, -2.055025039318741E+00,  1.310056130503795E+03,  3.927449474817014E+08, -1.770112245111500E+00,
2464617.500000000, A.D. 2035-Oct-17 00:00:00.0000,  2.058168552673988E+08, -3.340824000964141E+08, -1.252736334375654E+07,  1.482837415832853E+01,  1.128968998127484E+01, -2.052669088966987E+00,  1.309546310893297E+03,  3.925921074075336E+08, -1.767847194825937E+00,
2464618.500000000, A.D. 2035-Oct-18 00:00:00.0000,  2.070963373753936E+08, -3.331042376207407E+08, -1.270461086628704E+07,  1.478921918554833E+01,  1.135294131869381E+01, -2.050276753884265E+00,  1.309037148600421E+03,  3.924394643922315E+08, -1.765550693262462E+00,
2464619.500000000, A.D. 2035-Oct-19 00:00:00.0000,  2.083724240413084E+08, -3.321206150714868E+08, -1.288165011776254E+07,  1.474977597161364E+01,  1.141608033153114E+01, -2.047847992959231E+00,  1.308528652692936E+03,  3.922870211542436E+08, -1.763222715774267E+00,
2464620.500000000, A.D. 2035-Oct-20 00:00:00.0000,  2.096450903637107E+08, -3.311315422162668E+08, -1.305847794924849E+07,  1.471004457818180E+01,  1.147910556592409E+01, -2.045382766029390E+00,  1.308020832245843E+03,  3.921347804141870E+08, -1.760863236827264E+00,
2464621.500000000, A.D. 2035-Oct-21 00:00:00.0000,  2.109143114468616E+08, -3.301370289485220E+08, -1.323509120838146E+07,  1.467002507543727E+01,  1.154201556312115E+01, -2.042881033889112E+00,  1.307513696341617E+03,  3.919827448949190E+08, -1.758472230112470E+00,
2464622.500000000, A.D. 2035-Oct-22 00:00:00.0000,  2.121800624014626E+08, -3.291370852879298E+08, -1.341148673945192E+07,  1.462971754230550E+01,  1.160480885981571E+01, -2.040342758287722E+00,  1.307007254070408E+03,  3.918309173215981E+08, -1.756049668713810E+00,
2464623.500000000, A.D. 2035-Oct-23 00:00:00.0000,  2.134423183454168E+08, -3.281317213807818E+08, -1.358766138348663E+07,  1.458912206658462E+01,  1.166748398846576E+01, -2.037767901921282E+00,  1.306501514530186E+03,  3.916793004217271E+08, -1.753595525300661E+00,
