JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2462933.500000000, A.D. 2031-Mar-08 00:00:00.0000, -2.973844508810515E+08, -6.359008128400411E+07,  1.820940893960635E+07,  4.653900836636846E+00, -2.129513757171841E+01, -1.764069438001671E+00,  1.016209421972476E+03,  3.046519204558879E+08, -2.033825269186076E-01,
2462934.500000000, A.D. 2031-Mar-09 00:00:00.0000, -2.969771457739629E+08, -6.542885668979469E+07,  1.805667517820946E+07,  4.774433991029419E+00, -2.126898293559780E+01, -1.771424181926123E+00,  1.016152547217094E+03,  3.046348698331737E+08, -1.913063136829022E-01,
2462935.500000000, A.D. 2031-Mar-10 00:00:00.0000, -2.965594329367228E+08, -6.726533994931526E+07,  1.790330859410638E+07,  4.894819599734209E+00, -2.124207878855852E+01, -1.778718053160410E+00,  1.016099154089189E+03,  3.046188629761186E+08, -1.792213770232762E-01,
2462936.500000000, A.D. 2031-Mar-11 00:00:00.0000, -2.961313253547143E+08, -6.909946634653349E+07,  1.774931446183486E+07,  5.015052167457585E+00, -2.121442610408041E+01, -1.785950701889412E+00,  1.016049245023102E+03,  3.046039006145201E+08, -1.671282703563135E-01,
2462937.500000000, A.D. 2031-Mar-12 00:00:00.0000, -2.956928364878796E+08, -7.093117125158882E+07,  1.759469808600469E+07,  5.135126204336083E+00, -2.118602590344499E+01, -1.793121781819574E+00,  1.016002822293686E+03,  3.045899834303613E+08, -1.550275469871838E-01,
2462938.500000000, A.D. 2031-Mar-13 00:00:00.0000, -2.952439802702495E+08, -7.276039012493657E+07,  1.743946480099246E+07,  5.255036225965974E+00, -2.115687925609053E+01, -1.800230950202203E+00,  1.015959888016415E+03,  3.045771120578458E+08, -1.429197595145004E-01,
2462939.500000000, A.D. 2031-Mar-14 00:00:00.0000, -2.947847711094664E+08, -7.458705852152961E+07,  1.728361997063353E+07,  5.374776753568595E+00, -2.112698728011310E+01, -1.807277867881242E+00,  1.015920444147671E+03,  3.045652870834821E+08, -1.308054593190326E-01,
2462940.500000000, A.D. 2031-Mar-15 00:00:00.0000, -2.943152238862841E+08, -7.641111209504770E+07,  1.712716898790860E+07,  5.494342314333516E+00, -2.109635114286752E+01, -1.814262199365691E+00,  1.015884492485153E+03,  3.045545090462064E+08, -1.186851961802410E-01,
2462941.500000000, A.D. 2031-Mar-16 00:00:00.0000, -2.938353539540302E+08, -7.823248660218030E+07,  1.697011727462313E+07,  5.613727441984260E+00, -2.106497206158267E+01, -1.821183612923748E+00,  1.015852034668368E+03,  3.045447784375312E+08, -1.065595180789578E-01,
2462942.500000000, A.D. 2031-Mar-17 00:00:00.0000, -2.933451771380096E+08, -8.005111790696110E+07,  1.681247028107797E+07,  5.732926677533900E+00, -2.103285130393609E+01, -1.828041780691200E+00,  1.015823072179163E+03,  3.045360957017026E+08, -9.442897116551242E-02,
2462943.500000000, A.D. 2031-Mar-18 00:00:00.0000, -2.928447097348354E+08, -8.186694198514687E+07,  1.665423348573019E+07,  5.851934570230725E+00, -2.099999018849767E+01, -1.834836378786702E+00,  1.015797606342230E+03,  3.045284612358534E+08, -8.229409991695284E-02,
2462944.500000000, A.D. 2031-Mar-19 00:00:00.0000, -2.923339685116726E+08, -8.367989492862850E+07,  1.649541239484411E+07,  5.970745678598501E+00, -2.096639008501493E+01, -1.841567087422940E+00,  1.015775638325553E+03,  3.045218753901365E+08, -7.015544740217582E-02,
2462945.500000000, A.D. 2031-Mar-20 00:00:00.0000, -2.918129707053884E+08, -8.548991294985837E+07,  1.633601254213301E+07,  6.089354571559656E+00, -2.093205241452137E+01, -1.848233591011112E+00,  1.015757169140764E+03,  3.045163384678316E+08, -5.801355565481842E-02,
2462946.500000000, A.D. 2031-Mar-21 00:00:00.0000, -2.912817340216069E+08, -8.729693238627960E+07,  1.617603948839251E+07,  6.207755829526008E+00, -2.089697864926249E+01, -1.854835578247657E+00,  1.015742199643386E+03,  3.045118507254173E+08, -4.586896605111896E-02,
2462947.500000000, A.D. 2031-Mar-22 00:00:00.0000, -2.907402766336700E+08, -8.910088970474228E+07,  1.601549882112705E+07,  6.325944045453325E+00, -2.086117031247602E+01, -1.861372742186006E+00,  1.015730730532963E+03,  3.045084123726126E+08, -3.372221968711932E-02,
2462948.500000000, A.D. 2031-Mar-23 00:00:00.0000, -2.901886171815109E+08, -9.090172150589542E+07,  1.585439615417105E+07,  6.443913825805182E+00, -2.082462897805816E+01, -1.867844780290758E+00,  1.015722762353100E+03,  3.045060235723856E+08, -2.157385770022861E-02,
2462949.500000000, A.D. 2031-Mar-24 00:00:00.0000, -2.896267747704498E+08, -9.269936452854657E+07,  1.569273712730596E+07,  6.561659791418514E+00, -2.078735627015577E+01, -1.874251394477054E+00,  1.015718295491407E+03,  3.045046844409392E+08, -9.424421521899068E-03,
2462950.500000000, A.D. 2031-Mar-25 00:00:00.0000, -2.890547689699174E+08, -9.449375565398443E+07,  1.553052740587447E+07,  6.679176578269274E+00, -2.074935386272039E+01, -1.880592291137789E+00,  1.015717330179391E+03,  3.045043950476772E+08,  2.725546946961815E-03,
2462951.500000000, A.D. 2031-Mar-26 00:00:00.0000, -2.884726198121174E+08, -9.628483191026221E+07,  1.536777268039281E+07,  6.796458838147106E+00, -2.071062347905258E+01, -1.886867181161883E+00,  1.015719866492302E+03,  3.045051554151590E+08,  1.487550523546114E-02,
2462952.500000000, A.D. 2031-Mar-27 00:00:00.0000, -2.878803477906343E+08, -9.807253047644219E+07,  1.520447866616172E+07,  6.913501239255216E+00, -2.067116689135747E+01, -1.893075779946785E+00,  1.015725904348963E+03,  3.045069655190486E+08,  2.702491026715852E-02,
2462953.500000000, A.D. 2031-Mar-28 00:00:00.0000, -2.872779738589910E+08, -9.985678868680245E+07,  1.504065110287648E+07,  7.030298466750278E+00, -2.063098592032317E+01, -1.899217807407507E+00,  1.015735443511599E+03,  3.045098252880624E+08,  3.917321837890053E-02,
2462954.500000000, A.D. 2031-Mar-29 00:00:00.0000, -2.866655194291621E+08, -1.016375440350089E+08,  1.487629575423631E+07,  7.146845223239601E+00, -2.059008243473057E+01, -1.905292987984502E+00,  1.015748483585671E+03,  3.045137346039209E+08,  5.131988538113880E-02,
