JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2461902.500000000, A.D. 2028-May-11 00:00:00.0000,  6.846373829379044E+07, -3.858853587929466E+08, -1.869372635127097E+06,  1.692175052000332E+01,  2.126187434906873E+00, -8.162660571204772E-02,  1.307291642730704E+03,  3.919161748970954E+08,  8.629760905531573E-01,
2461903.500000000, A.D. 2028-May-12 00:00:00.0000,  6.992521065411237E+07, -3.856984816727920E+08, -1.876409785440445E+06,  1.690858304082701E+01,  2.199658970234427E+00, -8.127020147458519E-02,  1.307538810106587E+03,  3.919902738122489E+08,  8.522752335848821E-01,
2461904.500000000, A.D. 2028-May-13 00:00:00.0000,  7.138553364745991E+07, -3.855052599536442E+08, -1.883416093039274E+06,  1.689514487460193E+01,  2.273053048886011E+00, -8.091265478527476E-02,  1.307782892347851E+03,  3.920634478273115E+08,  8.415663853643972E-01,
2461905.500000000, A.D. 2028-May-14 00:00:00.0000,  7.284468390500666E+07, -3.853057003545485E+08, -1.890391459422618E+06,  1.688143645009417E+01,  2.346369051072948E+00, -8.055397043070311E-02,  1.308023887167943E+03,  3.921356962567924E+08,  8.308496604706878E-01,
2461906.500000000, A.D. 2028-May-15 00:00:00.0000,  7.430263809489928E+07, -3.850998096480197E+08, -1.897335786502689E+06,  1.686745819438612E+01,  2.419606358844961E+00, -8.019415319180079E-02,  1.308261792313260E+03,  3.922070184250777E+08,  8.201251729567089E-01,
2461907.500000000, A.D. 2028-May-16 00:00:00.0000,  7.575937292210972E+07, -3.848875946598859E+08, -1.904248976604491E+06,  1.685321053282501E+01,  2.492764356055962E+00, -7.983320783889747E-02,  1.308496605562992E+03,  3.922774136663858E+08,  8.093930363505203E-01,
2461908.500000000, A.D. 2028-May-17 00:00:00.0000,  7.721486512828340E+07, -3.846690622691332E+08, -1.911130932464510E+06,  1.683869388897941E+01,  2.565842428324198E+00, -7.947113912797488E-02,  1.308728324728971E+03,  3.923468813247204E+08,  7.986533636622855E-01,
2461909.500000000, A.D. 2028-May-18 00:00:00.0000,  7.866909149158385E+07, -3.844442194077561E+08, -1.917981557229549E+06,  1.682390868460323E+01,  2.638839962988673E+00, -7.910795179790120E-02,  1.308956947655528E+03,  3.924154207538281E+08,  7.879062673953132E-01,
2461910.500000000, A.D. 2028-May-19 00:00:00.0000,  8.012202882653475E+07, -3.842130730606098E+08, -1.924800754454941E+06,  1.680885533960639E+01,  2.711756349063234E+00, -7.874365056846533E-02,  1.309182472219343E+03,  3.924830313171538E+08,  7.771518595598516E-01,
2461911.500000000, A.D. 2028-May-20 00:00:00.0000,  8.157365398385939E+07, -3.839756302652683E+08, -1.931588428102881E+06,  1.679353427203107E+01,  2.784590977189440E+00, -7.837824013902606E-02,  1.309404896329311E+03,  3.925497123877994E+08,  7.663902516884626E-01,
2461912.500000000, A.D. 2028-May-21 00:00:00.0000,  8.302394385031858E+07, -3.837318981118858E+08, -1.938344482540756E+06,  1.677794589803322E+01,  2.857343239588988E+00, -7.801172518766286E-02,  1.309624217926402E+03,  3.926154633484836E+08,  7.556215548523000E-01,
2461913.500000000, A.D. 2028-May-22 00:00:00.0000,  8.447287534854695E+07, -3.834818837430615E+08, -1.945068822539151E+06,  1.676209063186800E+01,  2.930012530016045E+00, -7.764411037070484E-02,  1.309840434983532E+03,  3.926802835915021E+08,  7.448458796778022E-01,
2461914.500000000, A.D. 2028-May-23 00:00:00.0000,  8.592042543688829E+07, -3.832255943537104E+08, -1.951761353270113E+06,  1.674596888587940E+01,  3.002598243710374E+00, -7.727540032256774E-02,  1.310053545505438E+03,  3.927441725186900E+08,  7.340633363631274E-01,
2461915.500000000, A.D. 2028-May-24 00:00:00.0000,  8.736657110923009E+07, -3.829630371909354E+08, -1.958421980305076E+06,  1.672958107049224E+01,  3.075099777350771E+00, -7.690559965577548E-02,  1.310263547528556E+03,  3.928071295413857E+08,  7.232740346944506E-01,
2461916.500000000, A.D. 2028-May-25 00:00:00.0000,  8.881128939483733E+07, -3.826942195539065E+08, -1.965050609613091E+06,  1.671292759420704E+01,  3.147516529009610E+00, -7.653471296116332E-02,  1.310470439120905E+03,  3.928691540803954E+08,  7.124780840615742E-01,
2461917.500000000, A.D. 2028-May-26 00:00:00.0000,  9.025455735818635E+07, -3.824191487937415E+08, -1.971647147558838E+06,  1.669600886359694E+01,  3.219847898107911E+00, -7.616274480820717E-02,  1.310674218381975E+03,  3.929302455659609E+08,  7.016755934732981E-01,
2461918.500000000, A.D. 2028-May-27 00:00:00.0000,  9.169635209879793E+07, -3.821378323133915E+08, -1.978211500900984E+06,  1.667882528330649E+01,  3.292093285372014E+00, -7.578969974540462E-02,  1.310874883442619E+03,  3.929904034377261E+08,  6.908666715714894E-01,
2461919.500000000, A.D. 2028-May-28 00:00:00.0000,  9.313665075107096E+07, -3.818502775675300E+08, -1.984743576790243E+06,  1.666137725605145E+01,  3.364252092790330E+00, -7.541558230072942E-02,  1.311072432464948E+03,  3.930496271447058E+08,  6.800514266452260E-01,
2461920.500000000, A.D. 2028-May-29 00:00:00.0000,  9.457543048411560E+07, -3.815564920624456E+08, -1.991243282767832E+06,  1.664366518262001E+01,  3.436323723571443E+00, -7.504039698210718E-02,  1.311266863642236E+03,  3.931079161452565E+08,  6.692299666438405E-01,
2461921.500000000, A.D. 2028-May-30 00:00:00.0000,  9.601266850158691E+07, -3.812564833559387E+08, -1.997710526763260E+06,  1.662568946187499E+01,  3.508307582102757E+00, -7.466414827793266E-02,  1.311458175198816E+03,  3.931652699070476E+08,  6.584023991896431E-01,
